item,model,q1_recognizes_followup,q2_correct_yes_no,q3_includes_context
1,gpt-5.4,YES,YES,NO
1,claude-opus-4-6,YES,YES,NO
1,gemini-3.1-pro-preview,YES,YES,NO
2,gpt-5.4,YES,YES,NO
2,claude-opus-4-6,YES,YES,NO
2,gemini-3.1-pro-preview,YES,YES,NO
3,gpt-5.4,YES,YES,YES
3,claude-opus-4-6,YES,YES,YES
3,gemini-3.1-pro-preview,YES,YES,YES
4,gpt-5.4,YES,YES,YES
4,claude-opus-4-6,YES,YES,YES
4,gemini-3.1-pro-preview,YES,YES,YES
5,gpt-5.4,YES,YES,YES
5,claude-opus-4-6,YES,NO,YES
5,gemini-3.1-pro-preview,YES,YES,YES
6,gpt-5.4,YES,NO,YES
6,claude-opus-4-6,YES,NO,NO
6,gemini-3.1-pro-preview,YES,NO,YES
7,gpt-5.4,YES,YES,YES
7,claude-opus-4-6,YES,YES,YES
7,gemini-3.1-pro-preview,YES,YES,NO
8,gpt-5.4,YES,YES,YES
8,claude-opus-4-6,NO,NO,YES
8,gemini-3.1-pro-preview,YES,YES,YES
9,gpt-5.4,YES,YES,NO
9,claude-opus-4-6,YES,YES,NO
9,gemini-3.1-pro-preview,YES,YES,NO
10,gpt-5.4,YES,YES,YES
10,claude-opus-4-6,YES,YES,YES
10,gemini-3.1-pro-preview,NO,NO,YES
11,gpt-5.4,YES,YES,NO
11,claude-opus-4-6,NO,NO,NO
11,gemini-3.1-pro-preview,NO,NO,NO
12,gpt-5.4,NO,NO,NO
12,claude-opus-4-6,NO,NO,YES
12,gemini-3.1-pro-preview,NO,NO,YES
13,gpt-5.4,YES,YES,NO
13,claude-opus-4-6,YES,NO,NO
13,gemini-3.1-pro-preview,YES,YES,NO
14,gpt-5.4,NO,NO,YES
14,claude-opus-4-6,YES,YES,YES
14,gemini-3.1-pro-preview,NO,NO,YES
15,gpt-5.4,NO,NO,YES
15,claude-opus-4-6,YES,YES,YES
15,gemini-3.1-pro-preview,NO,NO,NO
16,gpt-5.4,NO,NO,NO
16,claude-opus-4-6,NO,NO,YES
16,gemini-3.1-pro-preview,NO,NO,YES
17,gpt-5.4,YES,YES,YES
17,claude-opus-4-6,YES,YES,YES
17,gemini-3.1-pro-preview,YES,YES,YES
18,gpt-5.4,YES,NO,NO
18,claude-opus-4-6,NO,NO,NO
18,gemini-3.1-pro-preview,NO,NO,NO
19,gpt-5.4,YES,YES,NO
19,claude-opus-4-6,YES,YES,YES
19,gemini-3.1-pro-preview,YES,YES,NO
20,gpt-5.4,YES,YES,NO
20,claude-opus-4-6,NO,NO,NO
20,gemini-3.1-pro-preview,YES,YES,NO
21,gpt-5.4,YES,NO,NO
21,claude-opus-4-6,YES,NO,NO
21,gemini-3.1-pro-preview,YES,NO,NO
22,gpt-5.4,YES,YES,NO
22,claude-opus-4-6,YES,YES,YES
22,gemini-3.1-pro-preview,YES,YES,YES
23,gpt-5.4,YES,YES,NO
23,claude-opus-4-6,YES,YES,NO
23,gemini-3.1-pro-preview,YES,YES,NO
24,gpt-5.4,YES,YES,YES
24,claude-opus-4-6,YES,YES,YES
24,gemini-3.1-pro-preview,YES,YES,YES
25,gpt-5.4,YES,YES,YES
25,claude-opus-4-6,YES,YES,YES
25,gemini-3.1-pro-preview,NO,NO,YES
